C_gps,C_name,C_name2,C_high,C_ad,,,
"37.11759167,128.4853833",태화산,태화산,1027,강원,팔공산,1192.3,"경상북도 군위군 부계면, 영천시 신녕면, 대구광역시 동구"
"36.01637665,128.6945558",팔공산,팔공산,1193,경북,팔봉산,328.2,강원도 홍천군 서면
"37.6959326,127.697033",팔봉산(홍천),팔봉산(홍천),327,강원,팔영산,606.9,"전라남도 고흥군 점암면, 영남면"
"34.61715278,127.4364528",팔영산,팔영산,608,전남,한라산,1947.3,제주특별자치도
"33.36191487,126.5333176",한라산,한라산,1950,제주도,화악산,1468.3,"경기도 가평군 북면, 강원도 화천군 사내면"
"37.16116389,128.917625",함백산,함백산,1573,강원,화왕산,757.7,"경상남도 창녕군 창녕읍, 고암면"
"37.9895988,127.4984162",화악산(가평),화악산(가평),1423,경기,황매산,1113.1,"경상남도 합천군 대병면ㆍ가회면, 산청군 차황면"
"35.54716667,128.5316389",화왕산(창녕),화왕산(창녕),756,경남,황석산,1192.5,"경상남도 함양군 안의면, 서하면, 서상면"
"35.49429306,127.9746603",황매산(산청),황매산(산청),1108,경남,황악산,1111.4,경상북도 김천시 대항면
"35.65517361,127.7554706",황석산(함양),황석산(함양),1192,경남,황장산,1078.9,경상북도 문경시 동로면
"36.11807573,127.9668221",황악산(김천),황악산(김천),1111,경북,희양산,996.4,"경상북도 문경시 가은읍, 충청북도 괴산군 연풍면"
